N dis_x_std b condition H p damaged_fraction undamaged_N outputs_fraction_hlt flux_fraction_hlt n active_fraction_hlt q dis_x_avg inputs active_fraction_dis inputs_fraction undamaged_fraction flux_fraction_dis dis_y_avg order dis_y_std outputs_fraction_dis L damaged_nodes
400.0 0.0558326423395605 1.0 0.5 20.0 1.0 0.025 390.0 0.4 0.6225 10.0 0.6375 1.0 0.7611111111111111 1.0 0.63 0.8 0.975 0.61 0.1 1.0 0.05916079783099616 0.4 20.0 10.0
400.0 0.0558326423395605 1.0 0.5 20.0 1.0 0.025 390.0 0.4 0.535 10.0 0.5575 1.0 0.7611111111111111 1.0 0.55 0.65 0.975 0.5225 0.1 1.0 0.05916079783099616 0.4 20.0 10.0
400.0 0.0558326423395605 1.0 0.5 20.0 1.0 0.025 390.0 0.35 0.4125 10.0 0.4475 1.0 0.7611111111111111 1.0 0.44 0.55 0.975 0.4 0.1 1.0 0.05916079783099616 0.35 20.0 10.0
400.0 0.0558326423395605 1.0 0.5 20.0 1.0 0.025 390.0 0.35 0.4125 10.0 0.4475 1.0 0.7611111111111111 1.0 0.44 0.55 0.975 0.4 0.1 1.0 0.05916079783099616 0.35 20.0 10.0
400.0 0.0558326423395605 1.0 0.5 20.0 1.0 0.025 390.0 0.35 0.3975 10.0 0.4375 1.0 0.7611111111111111 1.0 0.43 0.5 0.975 0.385 0.1 1.0 0.05916079783099616 0.35 20.0 10.0
400.0 0.0558326423395605 1.0 0.5 20.0 1.0 0.025 390.0 0.35 0.3975 10.0 0.4375 1.0 0.7611111111111111 1.0 0.43 0.5 0.975 0.385 0.1 1.0 0.05916079783099616 0.35 20.0 10.0
400.0 0.0558326423395605 1.0 0.5 20.0 1.0 0.025 390.0 0.35 0.3825 10.0 0.4225 1.0 0.7611111111111111 1.0 0.415 0.45 0.975 0.37 0.1 1.0 0.05916079783099616 0.35 20.0 10.0
400.0 0.0558326423395605 1.0 0.5 20.0 1.0 0.025 390.0 0.35 0.3875 10.0 0.4275 1.0 0.7611111111111111 1.0 0.42 0.45 0.975 0.375 0.1 1.0 0.05916079783099616 0.35 20.0 10.0
400.0 0.0558326423395605 1.0 0.5 20.0 1.0 0.025 390.0 0.35 0.3775 10.0 0.4125 1.0 0.7611111111111111 1.0 0.405 0.25 0.975 0.365 0.1 1.0 0.05916079783099616 0.35 20.0 10.0
400.0 0.0558326423395605 1.0 0.5 20.0 1.0 0.025 390.0 0.35 0.3725 10.0 0.4075 1.0 0.7611111111111111 1.0 0.4 0.2 0.975 0.36 0.1 1.0 0.05916079783099616 0.35 20.0 10.0
