N dis_x_std b condition H p damaged_fraction undamaged_N outputs_fraction_hlt flux_fraction_hlt n active_fraction_hlt q dis_x_avg inputs active_fraction_dis inputs_fraction undamaged_fraction flux_fraction_dis dis_y_avg order dis_y_std outputs_fraction_dis L damaged_nodes
400.0 0.06689774765995721 0.5 0.25 20.0 1.0 0.025 390.0 1.0 0.92 10.0 0.9275 1.0 0.3055555555555556 1.0 0.735 0.9 0.975 0.7025 0.365 1.0 0.045 0.7 20.0 10.0
400.0 0.06689774765995721 0.5 0.25 20.0 1.0 0.025 390.0 1.0 0.8575 10.0 0.87 1.0 0.3055555555555556 1.0 0.6775 0.7 0.975 0.64 0.365 1.0 0.045 0.7 20.0 10.0
400.0 0.06689774765995721 0.5 0.25 20.0 1.0 0.025 390.0 1.0 0.84 10.0 0.8525 1.0 0.3055555555555556 1.0 0.66 0.5 0.975 0.6275 0.365 1.0 0.045 0.7 20.0 10.0
400.0 0.06689774765995721 0.5 0.25 20.0 1.0 0.025 390.0 1.0 0.78 10.0 0.805 1.0 0.3055555555555556 1.0 0.6125 0.35 0.975 0.5675 0.365 1.0 0.045 0.7 20.0 10.0
400.0 0.06689774765995721 0.5 0.25 20.0 1.0 0.025 390.0 1.0 0.655 10.0 0.6825 1.0 0.3055555555555556 1.0 0.4625 0.25 0.975 0.4175 0.365 1.0 0.045 0.55 20.0 10.0
400.0 0.06689774765995721 0.5 0.25 20.0 1.0 0.025 390.0 1.0 0.6625 10.0 0.675 1.0 0.3055555555555556 1.0 0.435 0.2 0.975 0.405 0.365 1.0 0.045 0.55 20.0 10.0
400.0 0.06689774765995721 0.5 0.25 20.0 1.0 0.025 390.0 1.0 0.6625 10.0 0.675 1.0 0.3055555555555556 1.0 0.435 0.2 0.975 0.405 0.365 1.0 0.045 0.55 20.0 10.0
400.0 0.06689774765995721 0.5 0.25 20.0 1.0 0.025 390.0 1.0 0.615 10.0 0.63 1.0 0.3055555555555556 1.0 0.41 0.15 0.975 0.3775 0.365 1.0 0.045 0.55 20.0 10.0
400.0 0.06689774765995721 0.5 0.25 20.0 1.0 0.025 390.0 0.8 0.5025 10.0 0.515 1.0 0.3055555555555556 1.0 0.275 0.15 0.975 0.245 0.365 1.0 0.045 0.35 20.0 10.0
400.0 0.06689774765995721 0.5 0.25 20.0 1.0 0.025 390.0 0.35 0.2325 10.0 0.2525 1.0 0.3055555555555556 1.0 0.25 0.1 0.975 0.2325 0.365 1.0 0.045 0.35 20.0 10.0
400.0 0.06689774765995721 0.5 0.25 20.0 1.0 0.025 390.0 0.35 0.2325 10.0 0.2525 1.0 0.3055555555555556 1.0 0.25 0.1 0.975 0.2325 0.365 1.0 0.045 0.35 20.0 10.0
400.0 0.06689774765995721 0.5 0.25 20.0 1.0 0.025 390.0 0.35 0.2175 10.0 0.23 1.0 0.3055555555555556 1.0 0.23 0.05 0.975 0.2175 0.365 1.0 0.045 0.35 20.0 10.0
400.0 0.06689774765995721 0.5 0.25 20.0 1.0 0.025 390.0 0.5 0.345 10.0 0.36 1.0 0.3055555555555556 1.0 0.36 0.1 0.975 0.345 0.365 1.0 0.045 0.5 20.0 10.0
400.0 0.06689774765995721 0.5 0.25 20.0 1.0 0.025 390.0 0.15 0.1275 10.0 0.1325 1.0 0.3055555555555556 1.0 0.1325 0.1 0.975 0.1275 0.365 1.0 0.045 0.15 20.0 10.0
400.0 0.06689774765995721 0.5 0.25 20.0 1.0 0.025 390.0 0.35 0.2625 10.0 0.2775 1.0 0.3055555555555556 1.0 0.2775 0.15 0.975 0.2625 0.365 1.0 0.045 0.35 20.0 10.0
400.0 0.06689774765995721 0.5 0.25 20.0 1.0 0.025 390.0 0.35 0.2625 10.0 0.2775 1.0 0.3055555555555556 1.0 0.2775 0.15 0.975 0.2625 0.365 1.0 0.045 0.35 20.0 10.0
400.0 0.06689774765995721 0.5 0.25 20.0 1.0 0.025 390.0 0.2 0.135 10.0 0.1475 1.0 0.3055555555555556 1.0 0.1475 0.1 0.975 0.135 0.365 1.0 0.045 0.2 20.0 10.0
400.0 0.06689774765995721 0.5 0.25 20.0 1.0 0.025 390.0 0.35 0.2075 10.0 0.23 1.0 0.3055555555555556 1.0 0.2275 0.1 0.975 0.2075 0.365 1.0 0.045 0.35 20.0 10.0
400.0 0.06689774765995721 0.5 0.25 20.0 1.0 0.025 390.0 0.55 0.3675 10.0 0.39 1.0 0.3055555555555556 1.0 0.3875 0.15 0.975 0.3675 0.365 1.0 0.045 0.55 20.0 10.0
400.0 0.06689774765995721 0.5 0.25 20.0 1.0 0.025 390.0 0.55 0.3675 10.0 0.39 1.0 0.3055555555555556 1.0 0.3875 0.15 0.975 0.3675 0.365 1.0 0.045 0.55 20.0 10.0
400.0 0.06689774765995721 0.5 0.25 20.0 1.0 0.025 390.0 0.55 0.3925 10.0 0.415 1.0 0.3055555555555556 1.0 0.4125 0.2 0.975 0.3925 0.365 1.0 0.045 0.55 20.0 10.0
400.0 0.06689774765995721 0.5 0.25 20.0 1.0 0.025 390.0 0.55 0.38 10.0 0.405 1.0 0.3055555555555556 1.0 0.4025 0.2 0.975 0.38 0.365 1.0 0.045 0.55 20.0 10.0
400.0 0.06689774765995721 0.5 0.25 20.0 1.0 0.025 390.0 0.55 0.38 10.0 0.405 1.0 0.3055555555555556 1.0 0.4025 0.2 0.975 0.38 0.365 1.0 0.045 0.55 20.0 10.0
400.0 0.06689774765995721 0.5 0.25 20.0 1.0 0.025 390.0 0.55 0.38 10.0 0.405 1.0 0.3055555555555556 1.0 0.4025 0.2 0.975 0.38 0.365 1.0 0.045 0.55 20.0 10.0
400.0 0.06689774765995721 0.5 0.25 20.0 1.0 0.025 390.0 0.55 0.38 10.0 0.405 1.0 0.3055555555555556 1.0 0.4025 0.2 0.975 0.38 0.365 1.0 0.045 0.55 20.0 10.0
400.0 0.06689774765995721 0.5 0.25 20.0 1.0 0.025 390.0 0.55 0.38 10.0 0.405 1.0 0.3055555555555556 1.0 0.4025 0.2 0.975 0.38 0.365 1.0 0.045 0.55 20.0 10.0
400.0 0.06689774765995721 0.5 0.25 20.0 1.0 0.025 390.0 0.55 0.38 10.0 0.405 1.0 0.3055555555555556 1.0 0.4025 0.2 0.975 0.38 0.365 1.0 0.045 0.55 20.0 10.0
400.0 0.06689774765995721 0.5 0.25 20.0 1.0 0.025 390.0 0.55 0.405 10.0 0.42 1.0 0.3055555555555556 1.0 0.42 0.2 0.975 0.405 0.365 1.0 0.045 0.55 20.0 10.0
400.0 0.06689774765995721 0.5 0.25 20.0 1.0 0.025 390.0 0.55 0.405 10.0 0.42 1.0 0.3055555555555556 1.0 0.42 0.2 0.975 0.405 0.365 1.0 0.045 0.55 20.0 10.0
400.0 0.06689774765995721 0.5 0.25 20.0 1.0 0.025 390.0 0.55 0.405 10.0 0.42 1.0 0.3055555555555556 1.0 0.42 0.2 0.975 0.405 0.365 1.0 0.045 0.55 20.0 10.0
400.0 0.06689774765995721 0.5 0.25 20.0 1.0 0.025 390.0 0.55 0.405 10.0 0.42 1.0 0.3055555555555556 1.0 0.42 0.2 0.975 0.405 0.365 1.0 0.045 0.55 20.0 10.0
400.0 0.06689774765995721 0.5 0.25 20.0 1.0 0.025 390.0 0.55 0.3975 10.0 0.41 1.0 0.3055555555555556 1.0 0.41 0.1 0.975 0.3975 0.365 1.0 0.045 0.55 20.0 10.0
400.0 0.06689774765995721 0.5 0.25 20.0 1.0 0.025 390.0 1.0 0.6375 10.0 0.6525 1.0 0.3055555555555556 1.0 0.4325 0.15 0.975 0.3975 0.365 1.0 0.045 0.55 20.0 10.0
