N dis_x_std b condition H p damaged_fraction undamaged_N outputs_fraction_hlt flux_fraction_hlt n active_fraction_hlt q dis_x_avg inputs active_fraction_dis inputs_fraction undamaged_fraction flux_fraction_dis dis_y_avg order dis_y_std outputs_fraction_dis L damaged_nodes
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.15 0.4 10.0 0.495 1.0 0.12222222222222223 1.0 0.4875 0.85 0.975 0.395 0.05500000000000001 1.0 0.04716990566028302 0.15 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.15 0.4 10.0 0.495 1.0 0.12222222222222223 1.0 0.4875 0.85 0.975 0.395 0.05500000000000001 1.0 0.04716990566028302 0.15 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.32 10.0 0.4475 1.0 0.12222222222222223 1.0 0.44 0.75 0.975 0.32 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.2075 1.0 0.12222222222222223 1.0 0.2 0.6 0.975 0.0 0.05500000000000001 1.0 0.04716990566028302 0.0 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.1325 1.0 0.12222222222222223 1.0 0.1275 0.5 0.975 0.0 0.05500000000000001 1.0 0.04716990566028302 0.0 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.11 1.0 0.12222222222222223 1.0 0.105 0.4 0.975 0.0 0.05500000000000001 1.0 0.04716990566028302 0.0 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.21 10.0 0.2925 1.0 0.12222222222222223 1.0 0.2875 0.5 0.975 0.21 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.21 10.0 0.3525 1.0 0.12222222222222223 1.0 0.3475 0.55 0.975 0.21 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.24 10.0 0.305 1.0 0.12222222222222223 1.0 0.3 0.5 0.975 0.24 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.24 10.0 0.305 1.0 0.12222222222222223 1.0 0.3 0.5 0.975 0.24 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.24 10.0 0.3375 1.0 0.12222222222222223 1.0 0.3325 0.45 0.975 0.24 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.24 10.0 0.3325 1.0 0.12222222222222223 1.0 0.33 0.4 0.975 0.24 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.24 10.0 0.35 1.0 0.12222222222222223 1.0 0.3475 0.45 0.975 0.24 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.24 10.0 0.35 1.0 0.12222222222222223 1.0 0.3475 0.45 0.975 0.24 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.24 10.0 0.355 1.0 0.12222222222222223 1.0 0.35 0.5 0.975 0.24 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.24 10.0 0.365 1.0 0.12222222222222223 1.0 0.36 0.6 0.975 0.24 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.2575 10.0 0.39 1.0 0.12222222222222223 1.0 0.385 0.7 0.975 0.2575 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.2575 10.0 0.39 1.0 0.12222222222222223 1.0 0.385 0.7 0.975 0.2575 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.35 0.3975 10.0 0.5075 1.0 0.12222222222222223 1.0 0.385 0.75 0.975 0.2575 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.6 0.5975 10.0 0.6825 1.0 0.12222222222222223 1.0 0.4575 0.75 0.975 0.2275 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.6 0.5975 10.0 0.675 1.0 0.12222222222222223 1.0 0.45 0.7 0.975 0.2275 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.2275 10.0 0.4575 1.0 0.12222222222222223 1.0 0.4525 0.7 0.975 0.2275 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.2275 10.0 0.4475 1.0 0.12222222222222223 1.0 0.445 0.65 0.975 0.2275 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.225 10.0 0.46 1.0 0.12222222222222223 1.0 0.4575 0.65 0.975 0.225 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.225 10.0 0.4525 1.0 0.12222222222222223 1.0 0.45 0.65 0.975 0.225 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.23 10.0 0.4575 1.0 0.12222222222222223 1.0 0.455 0.7 0.975 0.23 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.4 0.375 10.0 0.585 1.0 0.12222222222222223 1.0 0.5825 0.75 0.975 0.375 0.05500000000000001 1.0 0.04716990566028302 0.4 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.4 0.375 10.0 0.5825 1.0 0.12222222222222223 1.0 0.58 0.7 0.975 0.375 0.05500000000000001 1.0 0.04716990566028302 0.4 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.23 10.0 0.4625 1.0 0.12222222222222223 1.0 0.46 0.65 0.975 0.23 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.285 1.0 0.12222222222222223 1.0 0.2825 0.6 0.975 0.0 0.05500000000000001 1.0 0.04716990566028302 0.0 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.285 1.0 0.12222222222222223 1.0 0.2825 0.6 0.975 0.0 0.05500000000000001 1.0 0.04716990566028302 0.0 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.23 10.0 0.4425 1.0 0.12222222222222223 1.0 0.44 0.55 0.975 0.23 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.23 10.0 0.45 1.0 0.12222222222222223 1.0 0.4475 0.6 0.975 0.23 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.23 10.0 0.3575 1.0 0.12222222222222223 1.0 0.355 0.4 0.975 0.23 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.1825 1.0 0.12222222222222223 1.0 0.18 0.35 0.975 0.0 0.05500000000000001 1.0 0.04716990566028302 0.0 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.1 0.145 10.0 0.3225 1.0 0.12222222222222223 1.0 0.2 0.6 0.975 0.0 0.05500000000000001 1.0 0.04716990566028302 0.0 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.215 1.0 0.12222222222222223 1.0 0.2075 0.7 0.975 0.0 0.05500000000000001 1.0 0.04716990566028302 0.0 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.1975 1.0 0.12222222222222223 1.0 0.195 0.5 0.975 0.0 0.05500000000000001 1.0 0.04716990566028302 0.0 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.1875 1.0 0.12222222222222223 1.0 0.185 0.45 0.975 0.0 0.05500000000000001 1.0 0.04716990566028302 0.0 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.1475 1.0 0.12222222222222223 1.0 0.145 0.4 0.975 0.0 0.05500000000000001 1.0 0.04716990566028302 0.0 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.155 1.0 0.12222222222222223 1.0 0.1525 0.45 0.975 0.0 0.05500000000000001 1.0 0.04716990566028302 0.0 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.23 10.0 0.32 1.0 0.12222222222222223 1.0 0.3175 0.4 0.975 0.23 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.23 10.0 0.32 1.0 0.12222222222222223 1.0 0.3175 0.4 0.975 0.23 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.23 10.0 0.415 1.0 0.12222222222222223 1.0 0.41 0.5 0.975 0.23 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.2325 10.0 0.455 1.0 0.12222222222222223 1.0 0.45 0.65 0.975 0.2325 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.23 10.0 0.4425 1.0 0.12222222222222223 1.0 0.44 0.6 0.975 0.23 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.23 10.0 0.4425 1.0 0.12222222222222223 1.0 0.44 0.6 0.975 0.23 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.23 10.0 0.46 1.0 0.12222222222222223 1.0 0.455 0.7 0.975 0.23 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.23 10.0 0.45 1.0 0.12222222222222223 1.0 0.4475 0.65 0.975 0.23 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.23 10.0 0.45 1.0 0.12222222222222223 1.0 0.4475 0.65 0.975 0.23 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.2275 10.0 0.365 1.0 0.12222222222222223 1.0 0.365 0.5 0.975 0.2275 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.05 0.1025 10.0 0.2325 1.0 0.12222222222222223 1.0 0.2325 0.35 0.975 0.1025 0.05500000000000001 1.0 0.04716990566028302 0.05 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.05 0.1025 10.0 0.1725 1.0 0.12222222222222223 1.0 0.1725 0.3 0.975 0.1025 0.05500000000000001 1.0 0.04716990566028302 0.05 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.05 0.1025 10.0 0.1725 1.0 0.12222222222222223 1.0 0.1725 0.3 0.975 0.1025 0.05500000000000001 1.0 0.04716990566028302 0.05 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.05 0.1025 10.0 0.1725 1.0 0.12222222222222223 1.0 0.1725 0.3 0.975 0.1025 0.05500000000000001 1.0 0.04716990566028302 0.05 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.05 0.1075 10.0 0.1775 1.0 0.12222222222222223 1.0 0.1775 0.35 0.975 0.1075 0.05500000000000001 1.0 0.04716990566028302 0.05 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.05 0.1025 10.0 0.1675 1.0 0.12222222222222223 1.0 0.1675 0.25 0.975 0.1025 0.05500000000000001 1.0 0.04716990566028302 0.05 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.05 0.1025 10.0 0.1725 1.0 0.12222222222222223 1.0 0.17 0.3 0.975 0.1025 0.05500000000000001 1.0 0.04716990566028302 0.05 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.2 0.2425 10.0 0.295 1.0 0.12222222222222223 1.0 0.2925 0.45 0.975 0.2425 0.05500000000000001 1.0 0.04716990566028302 0.2 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.2 0.2225 10.0 0.275 1.0 0.12222222222222223 1.0 0.2725 0.35 0.975 0.2225 0.05500000000000001 1.0 0.04716990566028302 0.2 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.2275 10.0 0.31 1.0 0.12222222222222223 1.0 0.3075 0.4 0.975 0.2275 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.14 1.0 0.12222222222222223 1.0 0.1375 0.4 0.975 0.0 0.05500000000000001 1.0 0.04716990566028302 0.0 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.1375 1.0 0.12222222222222223 1.0 0.1375 0.35 0.975 0.0 0.05500000000000001 1.0 0.04716990566028302 0.0 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.15 0.1375 10.0 0.2475 1.0 0.12222222222222223 1.0 0.245 0.45 0.975 0.1375 0.05500000000000001 1.0 0.04716990566028302 0.15 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.15 0.1375 10.0 0.3 1.0 0.12222222222222223 1.0 0.2975 0.5 0.975 0.1375 0.05500000000000001 1.0 0.04716990566028302 0.15 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.15 0.14 10.0 0.3025 1.0 0.12222222222222223 1.0 0.3025 0.6 0.975 0.14 0.05500000000000001 1.0 0.04716990566028302 0.15 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.15 0.14 10.0 0.31 1.0 0.12222222222222223 1.0 0.3075 0.7 0.975 0.14 0.05500000000000001 1.0 0.04716990566028302 0.15 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.195 1.0 0.12222222222222223 1.0 0.1925 0.65 0.975 0.0 0.05500000000000001 1.0 0.04716990566028302 0.0 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.2325 10.0 0.36 1.0 0.12222222222222223 1.0 0.3575 0.55 0.975 0.2325 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.2325 10.0 0.3625 1.0 0.12222222222222223 1.0 0.3575 0.55 0.975 0.2325 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.2325 10.0 0.3575 1.0 0.12222222222222223 1.0 0.3525 0.5 0.975 0.2325 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.2325 10.0 0.3575 1.0 0.12222222222222223 1.0 0.3525 0.5 0.975 0.2325 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.2325 10.0 0.3575 1.0 0.12222222222222223 1.0 0.3525 0.5 0.975 0.2325 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.2325 10.0 0.3625 1.0 0.12222222222222223 1.0 0.36 0.55 0.975 0.2325 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.2325 10.0 0.3125 1.0 0.12222222222222223 1.0 0.31 0.55 0.975 0.2325 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.2325 10.0 0.3125 1.0 0.12222222222222223 1.0 0.3075 0.55 0.975 0.2325 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.2275 10.0 0.3075 1.0 0.12222222222222223 1.0 0.3025 0.5 0.975 0.2275 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.2275 10.0 0.3025 1.0 0.12222222222222223 1.0 0.2975 0.45 0.975 0.2275 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.2275 10.0 0.2875 1.0 0.12222222222222223 1.0 0.285 0.35 0.975 0.2275 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.2275 10.0 0.2925 1.0 0.12222222222222223 1.0 0.2875 0.4 0.975 0.2275 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.25 0.225 10.0 0.295 1.0 0.12222222222222223 1.0 0.29 0.4 0.975 0.225 0.05500000000000001 1.0 0.04716990566028302 0.25 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.05 0.1025 10.0 0.165 1.0 0.12222222222222223 1.0 0.16 0.3 0.975 0.1025 0.05500000000000001 1.0 0.04716990566028302 0.05 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.05 0.1025 10.0 0.1675 1.0 0.12222222222222223 1.0 0.1625 0.35 0.975 0.1025 0.05500000000000001 1.0 0.04716990566028302 0.05 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.05 0.1025 10.0 0.175 1.0 0.12222222222222223 1.0 0.17 0.4 0.975 0.1025 0.05500000000000001 1.0 0.04716990566028302 0.05 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.05 0.1025 10.0 0.185 1.0 0.12222222222222223 1.0 0.18 0.45 0.975 0.1025 0.05500000000000001 1.0 0.04716990566028302 0.05 20.0 10.0
400.0 0.0737027731190089 0.5 0.5 20.0 1.0 0.025 390.0 0.2 0.2425 10.0 0.3 1.0 0.12222222222222223 1.0 0.295 0.5 0.975 0.2425 0.05500000000000001 1.0 0.04716990566028302 0.2 20.0 10.0
