N dis_x_std b condition H p damaged_fraction undamaged_N outputs_fraction_hlt flux_fraction_hlt n active_fraction_hlt q dis_x_avg inputs active_fraction_dis inputs_fraction undamaged_fraction flux_fraction_dis dis_y_avg order dis_y_std outputs_fraction_dis L damaged_nodes
400.0 0.05443310539518173 0.25 0.5 20.0 1.0 0.025 390.0 0.8 0.7175 10.0 0.7825 1.0 0.9333333333333333 1.0 0.7425 0.8 0.975 0.5825 0.255 1.0 0.04716990566028302 0.6 20.0 10.0
400.0 0.05443310539518173 0.25 0.5 20.0 1.0 0.025 390.0 0.8 0.635 10.0 0.7175 1.0 0.9333333333333333 1.0 0.6775 0.7 0.975 0.5 0.255 1.0 0.04716990566028302 0.6 20.0 10.0
400.0 0.05443310539518173 0.25 0.5 20.0 1.0 0.025 390.0 0.8 0.5075 10.0 0.6 1.0 0.9333333333333333 1.0 0.56 0.55 0.975 0.39 0.255 1.0 0.04716990566028302 0.6 20.0 10.0
400.0 0.05443310539518173 0.25 0.5 20.0 1.0 0.025 390.0 0.8 0.4725 10.0 0.53 1.0 0.9333333333333333 1.0 0.49 0.5 0.975 0.355 0.255 1.0 0.04716990566028302 0.6 20.0 10.0
400.0 0.05443310539518173 0.25 0.5 20.0 1.0 0.025 390.0 0.8 0.4725 10.0 0.545 1.0 0.9333333333333333 1.0 0.505 0.55 0.975 0.355 0.255 1.0 0.04716990566028302 0.6 20.0 10.0
400.0 0.05443310539518173 0.25 0.5 20.0 1.0 0.025 390.0 0.4 0.225 10.0 0.27 1.0 0.9333333333333333 1.0 0.23 0.4 0.975 0.1075 0.255 1.0 0.04716990566028302 0.2 20.0 10.0
400.0 0.05443310539518173 0.25 0.5 20.0 1.0 0.025 390.0 0.4 0.2275 10.0 0.27 1.0 0.9333333333333333 1.0 0.23 0.4 0.975 0.1075 0.255 1.0 0.04716990566028302 0.2 20.0 10.0
400.0 0.05443310539518173 0.25 0.5 20.0 1.0 0.025 390.0 0.4 0.3475 10.0 0.3825 1.0 0.9333333333333333 1.0 0.3425 0.45 0.975 0.21 0.255 1.0 0.04716990566028302 0.2 20.0 10.0
400.0 0.05443310539518173 0.25 0.5 20.0 1.0 0.025 390.0 0.8 0.5925 10.0 0.6275 1.0 0.9333333333333333 1.0 0.5875 0.5 0.975 0.455 0.255 1.0 0.04716990566028302 0.6 20.0 10.0
400.0 0.05443310539518173 0.25 0.5 20.0 1.0 0.025 390.0 0.8 0.4725 10.0 0.5 1.0 0.9333333333333333 1.0 0.46 0.4 0.975 0.3525 0.255 1.0 0.04716990566028302 0.6 20.0 10.0
400.0 0.05443310539518173 0.25 0.5 20.0 1.0 0.025 390.0 0.6 0.3625 10.0 0.3975 1.0 0.9333333333333333 1.0 0.3675 0.3 0.975 0.2575 0.255 1.0 0.04716990566028302 0.45 20.0 10.0
400.0 0.05443310539518173 0.25 0.5 20.0 1.0 0.025 390.0 0.6 0.3625 10.0 0.3925 1.0 0.9333333333333333 1.0 0.3625 0.25 0.975 0.2575 0.255 1.0 0.04716990566028302 0.45 20.0 10.0
400.0 0.05443310539518173 0.25 0.5 20.0 1.0 0.025 390.0 0.6 0.3625 10.0 0.3675 1.0 0.9333333333333333 1.0 0.3375 0.15 0.975 0.2575 0.255 1.0 0.04716990566028302 0.45 20.0 10.0
400.0 0.05443310539518173 0.25 0.5 20.0 1.0 0.025 390.0 0.15 0.105 10.0 0.1075 1.0 0.9333333333333333 1.0 0.0775 0.05 0.975 0.0 0.255 1.0 0.04716990566028302 0.0 20.0 10.0
